dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
jena_weather/D/short,Granite-FlowState-r1.1,376.1075892857143,376.1075892857143,9.443488033234127,9.443488033234127,0.9939123424562557,0.5728558380591687,0.429398453187751,13.619543908861337,19.39349347811565,0.11678052793359939,0.056865232625579715,0.04558364609271115,Nature,21
jena_weather/H/short,Granite-FlowState-r1.1,1077.1955864188467,1077.1955864188467,8.188501139730837,8.188501139730837,0.5196861226091521,1.1501010960746758,0.5270776264878901,7.991605098828543,32.820657921785276,0.20118852822063593,0.05019498684521908,0.04119831088589379,Nature,21
jena_weather/H/medium,Granite-FlowState-r1.1,1330.8058531746033,1330.8058531746033,10.226915922619048,10.226915922619048,0.7842942648496598,1.8652826046760853,0.6386914476148045,11.40531967647425,36.48021180276512,0.22322888589957443,0.06258031230569297,0.05083417539446324,Nature,21
jena_weather/H/long,Granite-FlowState-r1.1,1841.494708994709,1841.494708994709,13.846733424272486,13.846733424272486,0.9848209886039994,1.8613040453767122,0.6123215711083183,15.607983226575751,42.91264043373128,0.25838163942703385,0.08337267636554856,0.06880514349091527,Nature,21
kdd_cup_2018/D/short,Granite-FlowState-r1.1,2921.234310584148,2921.234310584148,21.20006677300477,21.20006677300477,1.1951445046864824,0.5133452117106201,0.46647117559449597,17.98914564621405,54.048444108819155,1.2107425328178039,0.4749040044330547,0.38685809142608985,Nature,1
kdd_cup_2018/H/short,Granite-FlowState-r1.1,4337.888890701996,4337.888890701996,22.387130088702538,22.387130088702538,0.9372166722022238,0.873000487563369,0.4887326658474317,13.435242376527574,65.86265171325853,1.3786245797153462,0.46860317656109995,0.38122292771860034,Nature,1
kdd_cup_2018/H/medium,Granite-FlowState-r1.1,5052.386906355176,5052.386906355176,25.23020061772411,25.23020061772411,1.0530793374274843,0.9681536701541428,0.5636873612115938,14.37902041715058,71.08014424827215,1.4878361640663633,0.5281137974985459,0.42830766409169074,Nature,1
kdd_cup_2018/H/long,Granite-FlowState-r1.1,4053.343280007734,4053.343280007734,24.065082806155928,24.065082806155928,1.0311357462105595,1.034437652912479,0.6159803498329852,13.69219308729011,63.66587217660443,1.4938586860877772,0.5646641089228381,0.4533249005609384,Nature,1
m4_daily/D/short,Granite-FlowState-r1.1,383310.48283145763,383310.48283145763,183.23157888066513,183.23157888066513,3.4131109315753108,0.040825493850045344,0.031355624337666754,47.63678962259134,619.1207336468854,0.09563704263290454,0.02830421494347694,0.022900931802225407,Econ/Fin,1
m4_hourly/H/short,Granite-FlowState-r1.1,723110.9570659692,723110.9570659692,196.79325420115498,196.79325420115498,0.713990207508164,0.08605266250849922,0.07881981527939702,10.842057120645304,850.3593105658156,0.11609283342854268,0.026866627078656887,0.02135558155683602,Econ/Fin,1
m4_monthly/M/short,Granite-FlowState-r1.1,1823382.6206840277,1823382.6206840277,552.4422353063512,552.4422353063512,0.916699987111396,0.15884671712804724,0.12885651554001704,13.9707533787845,1350.3268569809413,0.2806442762956636,0.11481646130430026,0.0931532832288947,Econ/Fin,1
m4_quarterly/Q/short,Granite-FlowState-r1.1,1738616.6759635417,1738616.6759635417,552.4645934855143,552.4645934855143,1.1420816185424119,0.11770258088906606,0.10061800170938173,16.177277701491448,1318.5661439471066,0.22070475375841966,0.09247284455557588,0.07464459265586436,Econ/Fin,1
m4_weekly/W/short,Granite-FlowState-r1.1,227444.00771373473,227444.00771373473,253.5405372830512,253.5405372830512,2.003717481484363,0.06146616391152725,0.06104892496125765,23.404341756008172,476.9109012318074,0.08688576857100315,0.046191153082985485,0.036472378780812914,Econ/Fin,1
m4_yearly/A/short,Granite-FlowState-r1.1,3131604.405429326,3131604.405429326,817.0288270277451,817.0288270277451,2.984024894070045,0.1659732732094537,0.13642267458416943,50.49293436422214,1769.6339749872927,0.28376901000824706,0.1310143592804424,0.10743897836577086,Econ/Fin,1
restaurant/D/short,Granite-FlowState-r1.1,137.7787987433017,137.7787987433017,7.046978344199837,7.046978344199837,0.677381609597049,0.6467121740989439,0.3890514482444905,8.241040759460827,11.73792139790098,0.5402063392220255,0.32431827108484773,0.2561261610293061,Sales,1
saugeen/D/short,Granite-FlowState-r1.1,1035.563125,1035.563125,11.783541666666666,11.783541666666666,2.617649999084457,0.27195281982421876,0.3072052510579427,43.21598802043241,32.1801666403392,1.0423232649014553,0.3816717221938187,0.31452559549176246,Nature,1
saugeen/M/short,Granite-FlowState-r1.1,380.6612955729167,380.6612955729167,12.135650634765625,12.135650634765625,0.7111608211623143,0.340565250033424,0.33993373598371235,7.677201788255062,19.51054319010408,0.5857650376482935,0.3643486386665845,0.28286816123353986,Nature,1
saugeen/W/short,Granite-FlowState-r1.1,927.8205078125,927.8205078125,13.886923217773438,13.886923217773438,1.126597692510595,0.34466731548309326,0.36839163303375244,17.58278879914699,30.460146221128024,0.9194648420678209,0.419188324656872,0.3435656589218223,Nature,1
solar/10T/short,Granite-FlowState-r1.1,24.720465577953924,24.720465577953924,2.183071472464977,2.183071472464977,0.9589325577874787,5.650709114180957,1.1862783837506152,12.726368164043848,4.971967978371736,1.4463449183608275,0.6350552425826858,0.4935898798135239,Energy,1
solar/10T/medium,Granite-FlowState-r1.1,21.32158231205762,21.32158231205762,1.8855408740871593,1.8855408740871593,0.8232591275892576,3.8759157674105147,0.9138217515517283,11.07508290126873,4.617529892925179,1.0246482461787885,0.41840901835676175,0.3314387984075189,Energy,1
solar/10T/long,Granite-FlowState-r1.1,20.4143656066251,20.4143656066251,1.8876105959011305,1.8876105959011305,0.8242874371025948,3.5151956025250626,0.9042914375585296,10.715946882788078,4.518225935765619,0.9765422377082462,0.40797682573851435,0.3226831328999706,Energy,1
solar/D/short,Granite-FlowState-r1.1,109432.85644768857,109432.85644768857,262.3573296836983,262.3573296836983,1.02409644292405,0.9211316185276004,0.4570838501273571,8.045836984753434,330.806373045757,0.4779025454518829,0.3790169896649952,0.2780918687327324,Energy,1
solar/H/short,Granite-FlowState-r1.1,777.4137228478359,777.4137228478359,11.22367580441663,11.22367580441663,0.8659475080751678,4.611731669517061,1.2401509271696132,14.227258467692957,27.88213985417611,1.0277449656136954,0.4137084299841406,0.33745670532819655,Energy,1
solar/H/medium,Granite-FlowState-r1.1,836.8581964720195,836.8581964720195,10.958907628117396,10.958907628117396,0.839777069545184,4.923572757517174,1.2340413833988315,13.859831599381886,28.928501455692782,1.0420721418868888,0.3947654309803713,0.32704401025351737,Energy,1
solar/H/long,Granite-FlowState-r1.1,846.5779602595296,846.5779602595296,11.646764750608272,11.646764750608272,0.8878626267514227,5.8804177557274055,1.172973835519761,13.799974504528342,29.09601278971965,1.0088119223695706,0.4038146127567912,0.32890043353662274,Energy,1
solar/W/short,Granite-FlowState-r1.1,1227805.2262773723,1227805.2262773723,848.6813697536496,848.6813697536496,0.927460577256568,0.18811136788695398,0.16777606950189075,9.054210756693172,1108.0637284368495,0.2261835046686794,0.1732370816150543,0.1333145763617965,Energy,1
temperature_rain/D/short,Granite-FlowState-r1.1,183.57464001832022,183.57464001832022,5.741369487955628,5.741369487955628,1.333805731412502,16.92348956585481,1.4556871695658486,29.64772745993979,13.548971917393594,1.595072215615797,0.675910984660452,0.5539753872752878,Nature,1
us_births/D/short,Granite-FlowState-r1.1,197990.13333333333,197990.13333333333,283.69604166666664,283.69604166666664,0.4175609173313895,0.02720049540201823,0.026900806427001954,6.376966146226347,444.9608222454347,0.04171146643669608,0.026594201845652737,0.021694404889559496,Healthcare,1
us_births/M/short,Granite-FlowState-r1.1,58234309.333333336,58234309.333333336,5903.828125,5903.828125,0.667696291168976,0.018020798762639362,0.01828135425845782,10.031723113895659,7631.14076225392,0.02370227117910025,0.018337249904458355,0.014920015894344925,Healthcare,1
us_births/W/short,Granite-FlowState-r1.1,2029044.5714285714,2029044.5714285714,1061.6605050223213,1061.6605050223213,0.9656769501920781,0.01444631814956665,0.014466085604258947,15.024446556263998,1424.4453557186991,0.0193367060307101,0.014411937255166946,0.011944285300434935,Healthcare,1
